start_latitude,start_longitude,end_latitude,end_longitude,road_type
28.666337,77.437611,28.66687,77.437635,Service Road
28.66687,77.437635,28.667541,77.437732,Service Road
28.667541,77.437732,28.668096,77.437957,Service Road
28.668096,77.437957,28.668572,77.43833,Service Road
28.668572,77.43833,28.668935,77.4389,Service Road
28.668935,77.4389,28.669234,77.439506,Service Road
28.669234,77.439506,28.669569,77.440083,Service Road
28.669569,77.440083,28.669852,77.440623,Service Road
28.669852,77.440623,28.670174,77.441148,Service Road
28.670174,77.441148,28.670564,77.441654,Service Road
