start_latitude,start_longitude,end_latitude,end_longitude,road_type
28.9845,77.7064,28.982,77.698,Residential
28.982,77.698,28.979,77.6895,Residential
28.979,77.6895,28.9755,77.68,Main Road
28.9755,77.68,28.971,77.6705,Main Road
28.971,77.6705,28.967,77.661,Main Road
28.967,77.661,28.9625,77.6515,Main Road
28.9625,77.6515,28.958,77.6415,Main Road
28.958,77.6415,28.953,77.631,Main Road
28.953,77.631,28.948,77.6205,Main Road
28.948,77.6205,28.9425,77.61,Main Road
28.9425,77.61,28.938,77.6005,Main Road
28.938,77.6005,28.9335,77.5905,Main Road
28.9335,77.5905,28.929,77.58,Main Road
28.929,77.58,28.9245,77.57,Main Road
28.9245,77.57,28.92,77.56,Main Road
28.92,77.56,28.9155,77.55,Main Road
28.9155,77.55,28.911,77.54,Main Road
28.911,77.54,28.9065,77.53,Main Road
28.9065,77.53,28.902,77.52,Main Road
28.902,77.52,28.9,77.51,Main Road
